name,Headquarters,Employees,Industry,Founded At,Status,Total Funding,Funding Rounds,Number of Acquisitions,FY 2022-23 Revenue,Profit_Loss,Latest Funding Round,FY 2022-23 Expenses,Net Cash Flow From Operations
GetSupp,Bengaluru,21,Fitness/Nutrition Brand,2022,1,9.44,1,0,0.3364999999999999,-1.83,Seed,2.16,-44.14
GetVantage,Mumbai,68,Fintech,2019,1,320.11,4,0,11.18,-7.74,Series A,18.94,-6.41
GetWork,Gurugram,33,HR Tech,2018,1,8.93,4,0,1.99,-2.05,Seed,4.02,-43.73888889
Giga Fun Studios,Bengaluru,10,Gaming,2022,1,19.43,1,0,3000,-1.03,Seed,1.06,165.34656923076923
Gigforce,Gurugram,197,HR Tech,2019,1,53.74,4,0,64.9,-19.34,Series A,87.7,-19.37
GIVA,Bengaluru,151,"E-commerce,",2019,1,441.39,7,0,167.12,-45.22,Series B,212.35,-79.07
Glamplus,Bengaluru,50,SaaS,2020,1,22.93,3,0,26.08,-8.83,pre-Series A,34.95,-13.57
Glamyo Health,Delhi,237,Healthcare,2019,0,52.47,4,0,11.61,16.62,Series B,,-13.36
Glance,Bengaluru,1073,"Entertainment,",2019,1,2894.88,3,3,346.04,-1067,Series D,1414,-974
GlobalBees,Delhi,172,E-commerce,2021,1,2330.04,5,12,20.76,-59.29,Debt Financing,,-41.8
Globalfair,Bengaluru,101,"B2B,",2020,1,180.54,2,0,0.6309,-2.01,Series A,2.64,0.3593
Glowroad,Bengaluru,351,E-commerce,2017,1,220.75,4,0,4900,-0.7692,Series B,0.7696999999999999,-154.0354023
Go Desi,Bengaluru,83,Food & Beverages,2018,1,111.65,4,0,26.15,-9.63,Series B,35.78,-12.01
GoalTeller,Bengaluru,20,Fintech,2020,1,4.98,3,0,0.4579999999999999,-1.08,pre-Series A,1.53,-145.3999127
GOAT Brand Labs,Bengaluru,52,E-commerce,2021,1,824.82,5,20,157.6,-80.28,Debt Financing,237.87,-75.85
GoBolt,Gurugram,109,"SaaS,",2015,1,208.41,5,0,361.99,-11.49,Series B,374.08,-30.07
GoEgo Network,Pune,39,Automotive Tech,2019,1,74.87,2,0,3.54,-5.78,Series A,11.06,-75.86182381
GoKwik,Delhi,210,SaaS,2020,1,451.49,4,2,55.52,-49.19,Angel,105.1,-186.87
Gold Setu,Bengaluru,28,SaaS,2021,1,17.91,2,0,28.43,-5.13,Seed,33.57,-15.59345238
GoMechanic,Gurugram,924,Automotive Tech,2016,0,485.45,8,1,309.78,-147.16,Series C,456.75,-84.74
Goodera,Bengaluru,305,SaaS,2014,1,205.21,4,0,39.84,-4.99,Series C,53.78,-10.77
Goodfellows,Mumbai,18,"Social Media,",2021,1,0.1,2,0,0.0863,-0.1775,Seed,0.2632,-4.6
GoodMeetings,Bengaluru,12,SaaS,2021,1,12.62,1,0,0.4034,-3.67,pre-Series A,4.07,-15.59345238
Goofy Tails,Delhi,24,E-commerce,2018,1,4.64,1,0,5.35,-2.11,Seed,7.46,-3.39
GoPaani,Indore,59,"SaaS,",2019,1,4.59,1,0,0.3285,-2.66,Seed,2.98,3.32288
GoSats,Bengaluru,21,Fintech,2020,1,37.11,3,0,12.67,-0.3493,Seed,13.02,-0.4592
Goseeko,Delhi,23,EdTech,2018,1,5.19,5,0,6.43,0.4525,Seed,5.81,-44.05101
GramCover,Noida,44,Insurance,2016,1,71.53,6,0,44.85,-16.61,Series A,61.53,-21.17
GramFactory,Gurugram,57,E-commerce,2018,1,37.02,3,0,46.47,-8.87,Pre-Series A,55.35,-1.11
Gramophone,Gurugram,337,Agritech,2016,1,166.16,8,0,316.15,-57.88,Series B,374.04,-57.41
Gravton Motors,Hyderabad,41,Automotive Tech,2017,1,19.6,4,0,0.0895,-5.18,Seed,5.27,-5.3
GrayQuest,Mumbai,306,Fintech,2017,1,76.87,3,0,9.09,-26.3,Series A,35.4,-31.47
Greenikk,Thiruvananthapuram,16,Logistics/Supply Chain,2020,1,6.9,3,0,5.55,-1.12,Seed,6.61,-9.511538462
GreenPod Labs,Chennai,23,"Agritech,",2019,1,4.34,2,0,0.5347,-1.07,Seed,1.61,-17.12333333
GrinnTech,Chennai,49,Renewable Energy,2013,1,15.03,1,0,5.29,-6.74,Seed,12.73,-3.56
Grip Invest,Gurugram,88,Fintech,2020,1,117.92,4,0,9.27,-26.72,Series B,35.99,-35.91
GroMo,Gurugram,305,Fintech,2019,1,93.46,5,0,5020,-0.5862,Seed,0.5867,-145.3999127
Growcoms,Kochi,16,Agritech,2020,1,37.76,4,0,13.76,-2.14,Series A,15.9,-3.59
Growfitter,Mumbai,26,Healthcare,2016,1,22.42,6,0,0.1939999999999999,-1.99,Seed,,-7.033972414
GROWIT,Surat,68,Agritech,2020,1,2.9,1,0,27.46,-6.38,Seed,33.93,-4.78
Growpital,Gurugram,65,Fintech,2020,1,1.47,1,0,57.24,1.02,Debt Financing,55.48,-145.3999127
GrowthX,Bengaluru,187,EdTech,2019,1,11.85,1,0,6.61,1.82,Seed,4.05,3.8
