name,Headquarters,Employees,Industry,Founded At,Status,Total Funding,Funding Rounds,Number of Acquisitions,FY 2022-23 Revenue,Profit_Loss,Latest Funding Round,FY 2022-23 Expenses,Net Cash Flow From Operations
Awiros,Gurugram,68,Artificial Intelligence/Machine Learning,2015,1,59.57,2,0,14.37,-1.87,Series A,16.48,-26.2587125
Aye Finance,Gurugram,1886,Fintech,2014,1,2610.11,19,0,643.34,56.78,Series G,571.94,-730.13
Ayu Health,Bengaluru,254,Healthcare,2019,1,302.13,5,1,17.47,-83.73,Series B,101.2,-7.033972414
AyuRythm,Bengaluru,10,Healthcare,2016,1,6.24,5,0,0.0768,-1.63,Seed,1.7,-7.033972414
Azah,Delhi,5,Personal care,2018,0,2.81,2,0,4.49,-1.12,Seed,,-42.01
Azani,Bengaluru,28,"Beauty & Wellness,",2017,1,23.81,4,0,7.03,-4.36,Series A,,-4.69
Baaz,Bengaluru,26,"E-commerce,",2020,1,8.52,5,0,0.9667,-2.04,Seed,3,-2.14
Baaz Bikes,Delhi,55,Automotive Tech,2019,1,81.6,2,0,0.7924,-4.86,Series A,5.52,-8.43
Baazi Games,Delhi,340,Gaming,2014,1,76.75,2,1,233.86,17.45,Series B,210.34,15.28
Backspace,Chennai,12,"SaaS,",2020,1,3.59,1,0,,-0.00040387,Seed,,3.32288
Bakingo,Gurugram,88,Food & Beverages,2016,1,133.18,1,0,72.73,0.6545,Private Equity,71.85,-3.32
Bambinos,Bengaluru,108,EdTech,2020,1,4.09,2,0,4.58,-0.4341,Seed,5.01,-44.05101
Bambrew,Bengaluru,41,E-commerce,2018,1,79.2,3,0,44.23,-18.03,Seed,62.23,-18.95
BankBazaar,Chennai,564,Fintech,2008,1,815.46,9,0,160.22,-36.71,Series D,196.93,-27.3
BathStory,Bengaluru,7,Décor,2021,1,0.7985,1,0,1.36,-0.3154,Seed,1.68,-44.2
Battery Smart,Gurugram,205,Automotive Tech,2019,1,1573.88,9,0,63.55,-64.51,Series B,128.07,-84.92
Battrixx,Mumbai,387,Automotive Tech,1962,1,301,1,3,614.65,33.81,Seed,,32.25
BatX,Gurugram,43,Cleantech,2020,1,58.55,5,0,21.9,0.1175,Pre-Series A,21.78,8.78
Beanly,Delhi,10,Food & Beverages,2021,1,1.3,1,0,1.66,-0.0488,Seed,1.72,-8.97
Beardo,Ahmedabad,145,Grooming,2015,0,11.21,3,0,95.62,0.7551,Seed,,-9.52
BeatO,Delhi,263,Healthcare,2015,1,412.76,10,1,22.76,-56.28,Series B,79.05,-7.033972414
Bebe Burp,Surat,10,Food & Beverages,2018,1,11.57,5,0,2.66,-0.5194,pre-Series A,3.18,-8.97
Beco,Mumbai,107,"D2C,",2018,1,111.67,3,0,24.97,-3.89,pre-Series B,28.87,-96.88033333
BeepKart,Bengaluru,74,Automotive Tech,2020,1,157.33,5,0,21.86,-27.88,Series A,47.63,-34.14
Bellatrix Aerospace,Bengaluru,34,Space Tech,2015,1,85.78,3,0,0.6955,-6.31,Series A,5.57,-7.55
BellaVita,Gurugram,217,Personal care,2018,1,479.73,2,2,185.96,-42.13,Debt Financing,228.45,-42.01
Bepure,Mumbai,8,Home and kitchen appliances,2016,1,1.25,1,0,4.32,-0.1721,Seed,4.49,-62.07680742
Bert Labs,Bengaluru,29,IT/ ITeS,2017,1,10.47,5,0,0.0542,-0.9182,Angel,0.9621,-0.5006
Better Beauty,Delhi,4,Beauty & Wellness,2022,1,1.58,1,0,0.0961,-0.4296,Seed,0.5257000000000001,-7.256666667
BetterPlace,Bengaluru,908,HR Tech,2015,1,630.28,8,8,533.92,-132.01,Series C,665.93,-125.71
Bewakoof,Bengaluru,380,E-commerce,2012,0,270.55,6,0,229.43,-12.74,Series B,241.78,-53.51
BeyondSkool,Mumbai,258,EdTech,2020,1,14.58,1,0,10.39,-17.05,Seed,27.45,-19.05
BGAUSS,Mumbai,94,Automotive Tech,2020,1,52,1,0,105.21,-25.84,Series A,131.05,-59.87
Bhanzu,Hyderabad,407,EdTech,2020,1,135.92,2,0,51.28,-70.99,Series A,122.42,-27.59
BharatAgri,Bengaluru,247,Agritech,2017,1,129.91,7,0,3.55,-28.62,Series A,,-31.29
BharatPe,Delhi,1810,Fintech,2018,1,5114.67,13,3,1167.51,-926.96,Debt Financing,2108.54,-932.36
BharatX,Bengaluru,18,Fintech,2019,1,36.67,2,1,0.5264,-8.32,Seed,8.85,-145.3999127
Bibo,Bengaluru,10,Healthcare,2020,1,3.48,6,0,0.6555,-0.806,Seed,1.46,-7.033972414
Biddano,Pune,76,Healthcare,2016,1,46.24,5,0,13.56,-19.41,Series A,32.97,-14.57
Big Bang Food Tech,Delhi,19,Foodtech,2021,1,4.82,1,1,0.6978,-0.4805,Seed,,-37.3
BigBasket,Bengaluru,11725,E-commerce,2011,0,7246.12,19,6,10099.8,-1415.28,Series G,,-1103.42
BigHaat,Bengaluru,193,Agritech,2015,1,218.69,7,0,645.09,-35.06,Pre-Series C,673.08,-98.45
Bigspoon,Ahmedabad,74,Foodtech,2019,1,118.9,5,0,17.5,-15.02,Series A,,-11.21
Bigyellowfish,Chennai,23,SaaS,2018,1,24.31,5,0,3.53,-2.96,Seed,7.26,-0.8645
Bijak,Gurugram,289,Agritech,2019,1,253.46,3,0,813.48,-46.11,Series B,859.6,-142.42
Bijnis,Delhi,555,"B2B,",2015,1,321.64,8,0,64.5,-99.57,Series B,164.07,-93.48
Bike Bazaar,Pune,385,Automotive Tech,2017,1,506.94,7,0,263.03,0.5975,Debt Financing,,-101.17
Billdesk,Mumbai,579,Fintech,2000,1,1658.16,5,1,2765.45,141.91,Series C,2561.53,-121.63
BillionLoans,Bengaluru,6,Fintech,2016,1,15.54,4,0,1.36,-0.638,Seed,2,-4.93
BimaKavach,Bengaluru,22,Fintech,2021,1,15.96,1,0,0.5538000000000001,-5.14,Seed,,-6.19
Binocs,Bengaluru,17,Blockchain,2022,1,32.03,1,0,1.03,-4.43,Seed,5.47,-62.07680742
BiofuelCircle,Pune,38,Biotech,2020,1,74.64,4,0,10.86,-6.82,Series A,19.33,-123.71
BioPrime,Pune,22,",",2016,1,16.38,4,0,3.38,-3.42,Seed,6.71,-62.07680742
Biryani Blues,Gurugram,121,Foodtech,2011,1,59.8,13,0,69.14,-15.42,Series B,83.8,-1.9
Biryani by Kilo,Gurugram,313,Foodtech,2015,1,416.65,11,1,221.75,-100.7,Series C,321.39,-91
BizeeBuy,Delhi,13,SaaS,2013,1,2.9,1,0,0.0565,-0.8849,Seed,0.9593,-15.59345238
Bizongo,Mumbai,356,E-commerce,2015,1,1965.31,14,3,185.01,-291.57,Series E,476.58,-646.28
BizzTm,Gurugram,91,E-commerce,2020,1,10.59,2,0,42.89,-18.83,Seed,61.73,-18.04
Black Bow Whisky,Delhi,22,Food & Beverages,2012,1,6.6,1,0,13.42,-2.26,pre-Series A,15.69,-4.88
Blackbuck,Bengaluru,3114,Logistics/Supply Chain,2015,1,2621.29,13,0,723.59,-290.49,Debt Financing,1013.91,-124.21
BlackLight Studio Works,Noida,49,Gaming,2011,1,6.85,1,0,7.86,-0.2343,Seed,8.17,-0.76
Blinkit,Gurugram,6712,Quick Commerce,2013,0,4917.17,11,2,747.7,-1191.5,Debt Financing,1939.2,-1210
BlissClub,Bengaluru,144,E-commerce,2020,1,156.67,3,0,72.12,-35.71,Debt Financing,107.84,-57.42
Bloom Hotels,Delhi,439,Hospitality,2011,1,362.61,5,0,149.64,5.8,Series c,143.84,-19.8
Blue Sky Analytics,Gurugram,28,Analytics/Data Management,2019,1,9.33,2,0,4.13,-3.14,Seed,7.28,-62.07680742
Blue Tokai Coffee,Delhi,300,Food & Beverages,2012,1,652.08,10,0,128.72,-42.98,Series C,165.61,-39.96
BlueLearn,Bengaluru,132,EdTech,2021,1,31.16,2,0,,-3.09,Seed,3.09,-44.05101
BlueRickshaw,Delhi,19,"B2B,",2020,1,4.13,3,0,0.1833,-0.9246,Angel,1.11,-0.4196
BlueSemi,Hyderabad,13,Healthcare,2017,1,4.18,4,0,0.3665,-0.5299,Seed,,-7.033972414
Bluestone,Bengaluru,811,E-commerce,2011,1,2029.7,12,0,1303.49,-142.23,Series H,,-181.16
BluSmart,Gurugram,387,Automotive Tech,2019,1,1245.25,11,0,70.9,-215.92,Pre-Series B,286.83,-211.08
Bodhi,Delhi,55,Spiritual Tech,2020,1,6.95,2,0,4.67,-1.46,Seed,6.65,-2.58
Bodhi AI,Jaipur,45,EdTech,2017,1,1.65,1,1,2.9,0.2266,Seed,2.61,-44.05101
Boingg,Gurugram,22,E-commerce,2020,1,6.31,4,0,4.16,-2.19,Seed,7.13,-154.0354023
Bold Care,Mumbai,18,Healthcare,2019,1,23.43,2,0,31.54,-15.89,Seed,47.44,-11.27
Bold Finance,Mumbai,14,Fintech,2021,1,14.18,2,0,0.4914,-1.43,Seed,2.36,-145.3999127
Bolo Live,Gurugram,46,Social Media,2015,1,70.62,5,0,8.48,-7.07,Series B,,-26.35
BookMyShow,Mumbai,1092,Entertainment,2007,1,1490.2,4,7,1026.58,85.11,Series D,940.86,227.97
Bounce,Bengaluru,746,Automotive Tech,2014,1,1663.27,11,2,99.1,-197.16,Undisclosed,297.38,-113.5
Boutique Spirit,Delhi,79,Food & Beverages,2016,1,131.16,8,0,80.21,-18.01,Series A,,-23.79
Braingroom,Chennai,19,EdTech,2015,1,1.5,1,0,0.3002,-0.311,pre-Seed,0.6098,-44.05101
BrainGymJr,Mumbai,4,EdTech,2021,1,2.44,1,0,0.0716,-0.8096,Seed,0.8743000000000001,-44.05101
Breathe Well-Being,Delhi,136,Healthcare,2020,1,47.62,5,0,7.63,-21.52,Series A,29.19,-23.48
BRIGHTBLU,Mumbai,7,Automotive Tech,2019,1,13.51,2,0,0.7467,0.0487,Seed,0.6731,0.0479
BrightChamps,Hyderabad,1231,EdTech,2020,1,468.18,1,3,20.61,-159.53,series A,180.15,-125.83
Briskpe,Mumbai,28,Fintech,2023,1,41.74,1,0,,-0.00069726,Seed,69726,-145.3999127
Broker Network,Mumbai,787,Prop Tech,2020,0,282.77,5,0,17.92,-57.88,Series A,,-58.63
BrowserStack,Mumbai,1128,"Enterprise Tech,",2011,1,1808.72,2,4,625.33,114.31,Series B,471.61,75.24
BugBase,Delhi,24,IT/ ITeS,2021,1,4.29,2,0,0.2297,-0.9627,Seed,1.49,0.2564666666666666
BuildNext,Kerala,214,Construction,2015,1,34.92,5,0,13.89,-13.71,pre-Series A,,-62.07680742
Bullspree,Ahmedabad,24,Gaming,2020,1,11.82,4,0,2.39,-11.67,Seed,13.79,-7.02
Bummer,Ahmedabad,67,"E-commerce,",2020,1,16.01,5,0,7.83,-2.94,Seed,10.78,-2.83
Bureau,Mumbai,149,IT/ ITeS,2020,1,159.61,3,0,32,-1.86,Series A,33.11,2.51
Burger Singh,Gurugram,121,Foodtech,2013,1,100.27,8,0,58.92,-4.42,pre-Series B,63.35,-5.31
Burgerama,Gurugram,41,Foodtech,2018,1,7.15,2,0,18.84,-3.88,pre-Series A,22.8,-4.12
Burma Burma,Mumbai,61,Food & Beverages,2013,1,33.05,3,0,46.52,-3.64,Series A,50.98,-5.76
Buyofuel,Coimbatore,37,Energy Tech,2020,1,17.93,5,0,21.81,-5.05,pre-Series A,26.99,-5.33
Bytebeam,Bengaluru,37,SaaS,2019,1,25.11,2,0,7.98,0.558,Seed,7.32,0.4788
Campus 365,Gurugram,45,EdTech,2016,1,2.15,1,0,1.75,-0.9215,Seed,2.66,-44.05101
Canvaloop,Surat,7,E-commerce,2020,1,1.5,1,0,3.15,0.0986,Seed,,-0.8792
CapGrid,Gurugram,53,"B2B,",2020,1,61.2,2,0,44.33,-8.39,Series A,52.72,-11.83
Captain Fresh,Bengaluru,544,"Foodtech,",2019,1,1287.7,10,2,844.12,-295.79,Series C,1138.08,-463.38
CaratLane,Chennai,2207,Jewellery,2008,0,371.2,4,0,2187.89,82.08,Series D,2068.54,-233.58
Carbanio,Hyderabad,45,E-commerce,2017,1,10.7,3,0,3.92,-10.35,Seed,14.28,-154.0354023
CARD91,Bengaluru,69,Fintech,2020,1,106.34,4,0,3.52,-35.51,Seed,39.03,-145.3999127
CarDekho,Jaipur,2243,Used car marketplace,2008,1,4484.12,13,7,2408.41,-565.96,Series E,2921.21,-580.24
CareerLabs,Bengaluru,151,EdTech,2019,1,16.16,1,0,9.73,-0.1869,Seed,,-44.05101
CARS24,Gurugram,6703,Used car marketplace,2015,1,9478.43,13,0,5590.47,-467.76,Series G,6058.23,-805.06
CarTrade,Mumbai,383,Used car marketplace,2006,1,2229.14,10,4,555.22,19.97,Series H,,15.87
CASHe,Mumbai,273,Fintech,2016,1,588.51,12,2,577.75,26.33,Debt Financing,544.1,-453.9
Cashflo,Mumbai,108,Fintech,2019,1,99.02,2,1,6.73,-21.52,Series B,28.33,-17.43
Cashfree,Bengaluru,827,Fintech,2015,1,321.57,6,2,616.91,-133.06,Series B,749.96,-148.72
Cashify,Gurugram,1149,E-commerce,2009,1,1045.26,10,3,825.47,-147.97,Series E,973.44,-225.99
Cashinvoice,Mumbai,69,Fintech,2018,1,38.45,5,0,5.98,-3.74,Series A,9.78,-4.83
CashKaro,Gurugram,352,Fintech,2013,1,235.56,6,0,251.71,-11.08,Series C,262.8,-21.03
Castler,Delhi,17,Fintech,2020,1,60.7,6,0,1.63,-3.42,pre-Series A,5.05,-2.31
CBREX,Mumbai,45,HR Tech,2013,1,47.94,13,0,5.32,-4.36,Pre-series A,10.28,-5.6
Celcius,Mumbai,60,Logistics/Supply Chain,2020,1,179.7,5,0,42.67,-8.1,pre-Series B,50.76,-18.02
Celebal Technologies,Jaipur,2141,SaaS,2015,1,265.3,3,0,106.45,21.57,Debt Financing,,11.58
CelebritySchool,Mumbai,4,EdTech,2019,1,1.03,1,0,0.8401000000000001,-0.8089,Seed,1.64,-44.05101
Cercle X,Coimbatore,48,Cleantech,2020,1,6.77,2,0,42.9,-2.14,Seed,45.1,-1.53
Chaayos,Delhi,643,"Food & Beverages,",2012,1,733.65,13,0,253.4,-95.5,Series C,348.9,-99.48
Chai Point,Bengaluru,405,Food & Beverages,2010,1,489.01,12,0,206.27,-70.13,Series C,276.4,-39.44
Chai Waale,Chennai,24,Food & Beverages,2018,1,12.27,3,0,15.81,-1.82,Seed,17.51,-1.24
Chalo,Mumbai,235,Travel Tech,2014,1,968.26,6,2,108.5,-95.3,Series D,203.8,-117
Chara,Bengaluru,42,SaaS,2019,1,46.43,3,0,1.51,-5.25,Seed,6.77,-15.59345238
ChargeBee,Pune,1166,Fintech,2011,1,3483.07,9,3,437.82,37.36,Series H,385.43,-12.85
Chargeup,Delhi,31,Automotive Tech,2019,1,76.18,3,0,4.37,-8.91,pre-Series A,14.37,-6.64
ChattyBao,Delhi,25,E-commerce,2021,1,39.63,1,0,1.4,-2.36,Seed,3.76,-154.0354023
ChefKart,Gurugram,82,Consumer Tech,2020,1,18.36,2,0,0.7397,-12.54,Seed,16.16,8.076666666666666
CheQ,Bengaluru,40,Fintech,2021,1,132.29,3,0,2.11,-19.42,Seed,21.6,-13.56
Chingari,Bengaluru,223,Social Media,2018,1,361.47,6,0,113.11,-42.5,Series A,155.62,-26.35
Chqbook,Gurugram,211,Fintech,2017,1,94.56,8,0,24.54,-27.01,Pre-Series B,51.55,-26.26
Chumbak Design,Bengaluru,259,E-commerce,2010,0,249.73,14,0,71.13,-6.56,Undisclosed,77.69,-3.97
CitiusTech,Mumbai,5366,Healthcare,2005,1,677.1,2,3,3561.3,55.57,Series D,2873.27,393.78
CityCash,Mumbai,27,Fintech,2017,1,27,6,0,0.3212,-6.4,Seed ,6.73,-5.81
CityMall,Gurugram,973,E-commerce,2020,1,851.54,5,0,380.89,-144.95,Series C,525.8,-222.12
ClaimBuddy,Gurugram,76,Healthcare,2020,1,49.38,3,0,6.14,-0.7103,Series A,6.85,-7.033972414
ClassMonitor,Indore,99,EdTech,2016,1,14.84,4,0,7.77,0.0194,pre-Series A,7.73,-44.05101
Classplus,Noida,862,EdTech,2018,1,1197.67,8,1,264.66,-110.42,Series D,,-104.2
Clean Electric,Pune,20,"Automotive Tech,",2016,1,67.65,4,0,0.5851,-2.12,Series A,2.69,-5.69
Clear,Bengaluru,1170,"Fintech,",2011,1,1026.31,8,6,111.45,-232.59,Series C,335.91,-180.27
ClearDekho,Ghaziabad,177,E-commerce,2017,1,102.97,8,0,8.11,-6.8,Series A,14.92,-7.12
Cleartrip,Mumbai,660,Travel Tech,2005,0,311.7,6,1,96.11,-683.87,Acquired,779.99,-387.58
Clever Harvey,Mumbai,82,EdTech,2019,1,15.38,2,0,5.21,-4.07,Seed,10.49,-44.05101
Clinikally,Gurugram,37,Healthcare,2021,1,25.62,2,0,2.79,-0.0006161,Seed,,0.1168999999999999
Clinikk,Bengaluru,195,Healthcare,2016,1,70.88,7,0,16.88,-33.15,Series A,50.03,-31.59
CLIRNET,Mumbai,199,"Social Media,",2015,1,18.77,9,0,7.24,-4.8,Pre- Series A,12.08,-4.6
CloudTailor,Hyderabad,64,E-commerce,2020,1,9.27,2,0,5.63,-2.16,Seed,7.86,-154.0354023
Clove Dental,Delhi,1504,Healthcare,2011,1,961.57,2,0,240.74,-39.43,Series E,280.17,-11.96
Clovia,Noida,261,E-commerce,2012,0,177.61,4,0,295.51,-80.93,Series B,376.44,-230.2
Codedamn,Delhi,44,IT/ ITeS,2020,1,1.27,1,0,1.81,-0.478,Seed,2.28,0.2564666666666666
Codevidhya,Jaipur,61,EdTech,2016,1,7.46,3,0,3.33,-2.37,Seed,6.64,-44.05101
Coding Invaders,Pune,83,EdTech,2021,1,5.2,1,0,16.55,-9.27,Seed,25.97,-9.07
Coding Ninjas,Delhi,2304,EdTech,2016,0,178.5,3,0,58.22,-52.63,Series B,,-51.96
Cogoport,Mumbai,840,Logistics/Supply Chain,2016,1,446.73,5,0,104.85,-35.25,Series B,140.11,89.1
Cogos,Bengaluru,163,Logistics/Supply Chain,2016,1,38.29,6,0,59.4,-5.47,Debt Financing,66.66,-5.05
CoinDCX,Mumbai,704,"Crypto,",2018,1,1856.68,6,1,394.23,15.46,Series D,,95.43
CoinSwitch,Bengaluru,519,Fintech,2017,1,2252.29,4,0,96.35,-385.4,Series C,481.9,-150.47
Cold Love,Delhi,10,Ice cream brand,2019,1,3.01,2,0,2.48,-1.52,Seed,4.51,-62.07680742
CollegeDekho,Gurugram,919,EdTech,2015,1,494.6,6,6,171.13,-129.14,Series B,302.05,-105.94
Com Olho,Gurugram,4,Deeptech,2019,1,2.45,1,0,0.1463,-0.3745,Seed,0.5211,-65.368
Comet,Bengaluru,25,E-commerce,2023,1,54.69,2,0,0.0589,-0.5123,Series A,0.5711999999999999,-154.0354023
CommerceIQ,Bengaluru,493,"E-commerce,",2012,1,1453.65,4,1,94.32,13.34,Series D,76.39,1.31
ConnectedH,Gurugram,45,Healthcare,2018,0,19.66,4,0,1.99,-6.13,Seed,8.13,-7.033972414
ConsCent,Delhi,41,SaaS,2020,1,18.05,2,0,0.3084,-3.12,Convertible Debt,,-2.67
Contlo,Bengaluru,34,SaaS,2020,1,54.5,3,0,5.06,-0.3652,Series A,5.58,-1.94
ConveGenius,Nagpur,118,EdTech,2013,1,138.08,9,1,24.72,1.53,Series A,23.18,2.26
Convosight,Delhi,147,SaaS,2019,1,137.34,7,0,20.45,-17.89,pre-Series B,,-22.99
Cora Health,Bengaluru,21,Healthcare,2020,1,6.53,2,0,0.3217,-1.35,Seed,2.39,-7.033972414
Corrit Electric,Noida,9,Automotive Tech,2020,1,79.99,4,0,2.21,-0.7859,Series A,3.27,-0.1262
Country Delight,Gurugram,870,"D2C,",2015,1,1499.31,17,0,547.25,-186.45,Debt Financing,,-134.45
Courseplay,Mumbai,28,SaaS,2012,1,5.39,2,0,3.67,-1.16,Seed,,0.067
Coutloot,Mumbai,91,E-commerce,2016,1,122.27,10,1,0.9768,-15.71,Series A,16.69,-154.0354023
Coverfox,Mumbai,518,"Fintech,",2013,1,356.45,9,0,3.14,-10.4,Series D,,-52.105
Covvalent,Gurugram,23,Logistics/Supply Chain,2022,1,35.09,1,0,2.93,0.1482,Seed,2.73,1.49
CRED,Bengaluru,1208,Fintech,2018,1,6448.32,9,5,1484.63,-1347.47,Series F,2831.99,-912.85
CredAble,Mumbai,187,Fintech,2017,1,557.78,8,0,91.67,-22.39,Debt Financing,115.36,-42.66
Credgenics,Noida,305,"Fintech,",2018,1,627.43,4,0,90.25,-12.62,Series B,102.87,-32.86
Credilio,Mumbai,108,Fintech,2020,1,36.1,2,0,69.72,-8.49,pre-Series A,78.21,-13.17
Credit Fair,Mumbai,52,Fintech,2018,1,206.07,5,0,19.7,0.5762,Debt Financing,16.02,-17.61
CredoPay,Chennai,59,Fintech,2014,1,55.66,6,0,22.63,-5.46,Pre- Series A,27.57,-3.51
CredR,Bengaluru,317,Automotive Tech,2015,1,274.68,9,0,35.62,-21.76,Series B,62.86,-75.86182381
CrepDog Crew,Delhi,32,E-commerce,2019,1,4.86,1,0,12.61,0.185,Seed,12.37,-154.0354023
Crib,Bengaluru,44,Prop Tech,2021,1,23.3,4,0,0.0375,-0.9023,Seed,,84.88
CrickPe,Delhi,5,Gaming,2022,1,28.45,1,0,0.0432,-1.05,Seed,1.45,165.34656923076923
CRIF High Mark,Bengaluru,294,Fintech,2005,1,55.8,3,0,208,53.07,Debt Financing,135.51,48.18
CropIn,Bengaluru,236,Agritech,2010,1,405.81,15,0,30.18,-83.88,Pre-Series D,114.06,-74.46
CrowdAnalytix,Bengaluru,107,Artificial Intelligence/Machine Learning,2012,1,307.59,4,0,29.06,7.58,Series A,22.18,-0.2361
Crypso,Bengaluru,34,Fintech,2021,1,32.14,2,0,4.12,-4.86,Seed,8.98,-2.85
Cube Club,Mumbai,24,Fitness/Nutrition Brand,2020,1,9.15,1,0,5.75,-1.51,Seed,7.27,-44.14
Cuemath,Bengaluru,2586,EdTech,2013,1,942.8,9,0,126.05,-234.69,Series D,360.38,-204.94
CultYvate,Bengaluru,24,Agritech,2016,1,5,2,0,3.19,-0.8908,pre-Series A,,-65.73210526
CureBay,Bhubaneshwar,45,Healthcare,2020,1,119.09,3,0,1.77,-15.98,Series A,17.72,-15.24
Curefoods,Bengaluru,294,Foodtech,2020,1,1529.11,10,13,411.55,-342.73,Debt Financing,754.28,-181.03
Curelink,Gurugram,105,Healthcare,2021,1,26.61,1,0,1.69,-10.03,Seed,11.71,-7.033972414
Curelo,Gurugram,78,Healthcare,2022,1,10.84,2,0,0.6352,-3.85,pre-Series A,4.49,-7.033972414
CureSkin,Bengaluru,135,Healthcare,2017,1,208.68,4,0,35.89,-28.07,Series B,63.97,-24.98
CuriousJr,Gurugram,23,EdTech,2020,1,7.43,1,0,0.9873,-2.39,Seed,3.37,-44.05101
CUSMAT,Bengaluru,41,EdTech,2016,1,37.23,6,0,1.85,-5.38,Seed,7.23,-44.05101
Cutbox,Pune,6,B2B,2022,1,1.25,1,0,0.4354,-0.7028,Seed,1.14,-62.07680742
Cyborgintell,Bengaluru,25,Artificial Intelligence/Machine Learning,2018,1,12.08,2,0,4.46,-1.44,Seed,6,-0.6636
Cybrilla,Bengaluru,44,Fintech,2010,1,29.45,3,0,2.69,-6.56,Seed,9.52,-4.15
Cygni Energy,Hyderabad,143,Automotive Tech,2014,1,213.24,10,0,106.67,0.2527,Series B,106,-20.16
CynLr,Bengaluru,22,"Robotics,",2019,1,39.71,2,0,1.13,-5.03,pre-Series A,6.16,-7.26
Daalchini,Noida,48,"Foodtech,",2017,1,48.43,5,0,22.55,-13.14,Series A,30.33,-6.88
Dacby,Gurugram,5,Gaming,2021,1,1.19,1,0,1.41,-0.2241,Seed,1.64,165.34656923076923
DailyBee,Hyderabad,7,Retail Tech,2021,1,1.25,1,0,1.51,0.0261,Seed,1.42,-62.07680742
DailyNinja,Bengaluru,112,E-commerce,2015,0,54.37,5,2,0.024,-0.6879,Series A,0.7120000000000001,-0.1525
DailyObjects,Gurugram,92,E-commerce,2012,1,114.51,8,0,63.24,0.065,Series B,63.13,-7.21
DailyRounds,Bengaluru,330,Healthcare,2014,0,11.2,2,0,566.41,281.48,Series A,187.57,324.78
DaMENSCH,Bengaluru,156,E-commerce,2018,1,220.86,5,0,77.57,-62.34,Series B,139.92,-71.94
DanaMojo,Bengaluru,13,Fintech,2016,1,3,1,0,0.8029000000000001,-0.3216,Seed,1.12,-0.2369
DarwinBox,Hyderabad,1064,HR Tech,2015,1,850.49,7,0,249.5,-154.03,Series D,407.21,-111.54
Datoms,Bengaluru,45,IT/ ITeS,2015,1,15.18,2,0,4.15,-2.75,Pre-Series A,6.86,-1.24
DCGpac,Gurugram,81,E-commerce,2005,1,20.69,4,0,79.86,-1.41,pre-Series A,81.61,-3.54
DealShare,Jaipur,1467,E-commerce,2018,1,2995.78,9,0,2054.92,-502.73,Series E,2557.65,-476.94
Deciml,Pune,15,Fintech,2021,1,7.73,2,0,21300,-2.59,pre-seed,2.58,-145.3999127
Deconstruct,Bengaluru,25,"D2C,",2020,1,18.49,2,0,6.73,-7.31,Seed,14.04,-96.88033333
Deep Eigen,Bhopal,6,EdTech,2019,1,1.87,1,0,61000,-0.0707,Seed,0.0777,-44.05101
Deep Rooted,Bengaluru,101,Agritech,2018,1,153.54,5,0,81.36,-47.07,Series A,129.24,-83.12
Deepsight AI Labs,Gurugram,15,Artificial Intelligence/Machine Learning,2018,1,2.43,2,0,2.2,0.6338,Angel,1.57,-26.2587125
DeHaat,Gurugram,1088,Agritech,2012,1,1712.38,10,5,1996.85,-1092.07,Series E,3091.25,-296.2
Delhivery,Gurugram,18600,Logistics/Supply Chain,2011,1,11434.2,13,5,8594.23,-249.18,Pre-IPO,,472.4
Deluxe Recycling,Mumbai,16,Renewable Energy,1999,1,36.88,2,0,27.46,-0.9919,Seed,28.28,-3.56
Design Cafe,Bengaluru,700,Décor,2016,1,462.29,6,0,111.96,-72.1,Series B,184.07,-49.4
Designx,Noida,44,IT/ ITeS,2015,1,2,1,0,1.93,-0.6212,Seed,2.52,0.2564666666666666
Detect Technologies,Chennai,433,Artificial Intelligence/Machine Learning,2016,1,356.55,7,0,26.14,-34.85,Series B,61.05,-43.4
Devtron,Gurugram,54,SaaS,2019,1,100.44,2,0,0.639,0.4545,Series A,0.1299,-15.59345238
Dezerv,Mumbai,105,Fintech,2021,1,482.17,3,0,1013.09,-50.81,Series B,1070.77,-74.79
DGV,Bengaluru,60,Fintech,2019,1,76.59,3,0,0.8509,-14.1,Series A,14.95,-145.3999127
Dhiway,Bengaluru,19,"Security Solution,",2019,1,11.84,3,0,0.5844,-4.24,pre-seed,,-62.07680742
DhiWise,Surat,67,"SaaS,",2021,1,75.5,3,0,2.06,-7.52,Series A,9.6,43.39
Dhurina,Gurugram,130,EdTech,2019,1,9.75,2,0,7.39,-3.38,Seed,11.84,-44.05101
Digantara,Bengaluru,39,Space Tech,2020,1,116.18,3,0,0.6243,-3.54,Series A,4.28,-9.6239
Digi2L,Mumbai,14,Consumer Tech,2015,1,2.81,1,0,0.2504,-4.81,Seed,5.05,8.076666666666666
Digiboxx,Mumbai,37,SaaS,2020,1,13,2,0,0.2115,-5.07,pre-Series A,8.78,-15.59345238
DigiMaze,Mumbai,70,Adtech,2019,1,5.3,1,0,68.89,5.78,Seed,61.17,1.95
Digit Insurance,Bengaluru,1487,Fintech,2016,1,4067.63,9,1,8442.74,181.68,Undisclosed,,1720.47
Disprz,Mumbai,304,"EdTech,",2015,1,387.16,9,0,56.02,-60.12,Series C,116.11,-52.88
Ditto Insurance,Bengaluru,507,Insurance,2018,1,34,2,0,15.84,-1.19,Seed,17.45,-0.2698
